config_id,w_role_message,w_framework_construct,w_prompt_var_name,w_yaml_key,w_md_heading,w_structural_corroboration,w_linguistic_phrase,w_length_multiline,w_template_placeholder,w_few_shot_markers
174,3,45,19,2,91,44,41,1,59,46
175,5,87,21,5,34,14,53,62,0,21
176,45,11,92,96,33,81,77,14,73,90
177,66,9,60,26,84,66,26,69,47,34
178,80,9,14,98,62,29,50,64,36,7
179,52,11,76,89,29,71,76,50,28,72
180,30,54,69,42,91,55,52,30,7,20
181,100,57,38,33,21,15,91,33,88,56
182,6,10,27,64,8,4,52,56,20,67
183,70,64,98,28,60,68,26,10,39,46
184,23,61,1,68,36,82,15,73,68,39
185,1,18,35,29,65,96,5,80,40,0
186,19,35,11,96,15,9,12,97,77,86
187,21,98,14,50,38,98,5,46,3,81
188,61,28,35,67,33,37,59,57,96,6
189,33,74,2,55,59,81,24,42,23,73
190,28,11,63,98,5,21,65,3,98,60
191,28,86,82,0,50,52,11,41,63,33
192,83,90,82,24,43,43,92,99,52,21
193,9,37,39,36,25,19,68,34,28,3
194,55,66,81,2,19,37,37,11,94,60
195,16,19,19,34,53,25,38,0,21,13
196,28,25,100,59,71,31,24,94,37,15
197,13,44,42,59,61,84,50,77,23,30
198,57,82,23,54,8,52,0,3,32,20
199,9,47,53,32,72,2,62,84,5,72
200,21,8,76,71,16,56,96,66,97,77
201,80,43,79,63,100,35,77,36,56,3
202,97,24,8,80,0,3,27,44,2,84
203,26,28,47,53,67,7,44,8,88,42
204,47,22,14,36,24,53,91,5,88,28
205,19,61,99,85,48,45,91,54,19,38
206,85,63,84,40,46,97,20,64,51,47
207,86,60,54,23,90,32,94,64,24,61
208,85,70,71,50,31,68,42,39,77,20
209,98,54,89,63,58,22,64,94,20,89
210,73,44,11,88,21,4,29,26,40,14
211,16,96,90,3,23,82,31,80,31,98
212,0,49,95,85,6,27,95,59,78,92
213,67,2,3,25,14,72,13,14,65,63
214,67,7,6,14,78,57,15,44,78,34
215,3,83,37,74,27,43,21,68,21,81
216,38,80,80,1,68,21,29,94,16,71
217,90,30,85,32,49,4,89,15,99,51
218,0,24,39,19,94,36,5,5,60,78
219,36,1,22,42,41,92,40,69,37,13
220,60,33,36,88,5,44,32,36,88,67
221,37,30,86,88,74,42,43,94,90,34
222,96,22,87,4,46,26,31,38,57,84
223,43,24,91,2,22,53,70,43,59,33
224,37,55,33,23,57,75,15,62,45,66
225,0,39,95,41,68,1,38,93,92,81
226,92,0,8,64,10,11,34,65,37,19
227,50,56,22,35,40,81,92,36,94,97
228,58,17,84,100,57,43,78,2,71,47
229,24,75,60,59,30,2,5,5,40,66
230,57,88,21,69,33,1,38,38,94,10
231,69,59,53,66,87,8,74,75,37,14
232,55,81,66,15,77,80,57,5,76,57
233,50,67,79,50,5,44,37,7,69,60
234,75,50,27,16,0,3,50,40,35,65
235,8,13,98,81,0,67,11,31,76,16
236,25,84,29,40,0,41,95,74,72,80
237,86,46,25,73,37,42,16,31,58,28
238,47,29,28,60,91,29,95,86,31,5
239,20,99,28,91,93,18,75,76,61,60
240,85,32,79,84,97,100,32,2,7,85
241,28,29,25,49,80,11,1,81,88,86
242,80,80,34,17,3,86,32,45,57,53
243,67,93,38,16,78,60,7,39,42,71
244,30,40,71,52,42,84,69,70,90,86
245,88,66,17,78,29,62,47,21,22,59
246,92,21,40,40,29,60,92,13,27,13
247,44,35,81,34,83,74,58,40,8,87
248,100,42,56,53,83,32,54,41,22,92
249,45,74,4,84,74,6,94,39,79,100
250,50,82,15,71,76,17,90,80,88,100
251,36,40,73,20,73,5,65,8,55,31
252,99,2,18,20,45,37,98,22,63,86
253,70,15,72,17,58,37,31,92,81,25
254,79,80,43,86,1,36,42,42,97,5
255,73,60,10,100,78,72,96,55,99,83
256,83,61,48,59,62,35,56,49,66,21
257,46,5,5,64,47,35,25,36,9,65
258,15,53,35,8,40,69,56,38,83,55
259,25,24,34,17,57,93,99,14,15,29
260,84,49,64,16,64,56,16,63,27,65
261,33,83,71,82,27,26,42,36,7,18
262,49,1,51,21,65,99,56,21,13,76
263,73,77,33,1,67,7,65,39,42,48
264,4,66,5,27,53,65,88,53,29,77
265,83,82,48,87,60,52,55,41,2,44
266,71,64,21,47,92,26,44,68,61,38
267,89,31,76,47,58,81,1,23,89,78
268,0,62,97,9,65,70,79,1,92,21
269,100,40,7,55,59,80,32,0,64,65
270,68,6,3,99,61,3,59,56,4,21
271,56,58,51,37,30,63,42,15,74,79
272,20,15,24,21,62,64,0,13,52,36
273,34,93,98,53,41,72,2,35,50,40
274,38,46,16,61,56,87,5,50,32,51
275,44,86,32,26,57,40,61,39,99,20
276,66,62,36,28,27,87,15,7,67,9
277,27,62,85,37,58,1,91,20,36,81
278,36,61,1,79,10,46,16,94,47,77
279,63,89,94,50,97,87,66,47,97,52
280,82,23,45,37,50,64,51,82,51,99
281,30,4,81,47,49,53,48,5,3,92
282,79,47,89,21,61,12,93,5,93,100
283,11,48,46,8,52,97,73,76,16,36
284,56,61,31,78,15,77,14,99,84,85
285,22,9,0,76,45,55,23,80,89,67
286,80,87,76,28,32,13,65,49,37,78
287,5,49,70,36,17,91,50,43,55,90
288,60,20,43,56,2,68,71,34,53,27
289,21,47,12,28,88,74,93,72,23,48
290,26,64,91,25,35,66,22,49,68,85
291,81,23,93,40,70,79,2,39,6,35
292,38,3,33,35,94,0,61,1,64,70
293,55,13,28,84,96,79,41,89,34,66
294,47,68,37,58,88,0,9,9,94,27
295,53,9,53,37,11,37,61,92,70,19
296,58,15,44,48,34,100,53,22,54,12
297,28,60,39,44,5,44,17,45,91,51
298,58,15,2,67,47,20,42,54,47,45
299,12,53,61,87,12,90,93,41,36,63
300,39,55,75,48,88,81,66,54,42,11
301,39,0,99,11,16,10,12,15,41,72
302,46,86,71,91,75,94,65,30,84,46
303,79,1,20,1,75,23,70,75,65,32
304,79,97,70,91,30,91,55,57,13,51
305,4,74,74,9,46,71,52,43,87,30
306,66,20,8,55,91,33,22,23,7,97
307,4,7,89,31,90,64,29,36,49,64
308,59,39,91,87,87,99,65,65,24,40
309,45,92,30,94,49,99,12,25,24,54
310,86,72,97,7,65,38,54,41,9,98
311,34,40,70,100,19,89,88,69,60,97
312,5,2,87,18,72,59,69,82,61,40
313,25,99,76,28,41,26,28,91,63,38
314,13,35,75,18,40,99,59,42,32,46
315,83,11,34,88,99,73,60,34,64,78
316,11,100,35,37,2,98,75,65,26,15
317,75,26,56,1,61,87,88,25,92,62
318,2,87,15,80,13,21,0,98,13,40
319,72,6,46,62,68,25,28,29,87,41
320,43,0,64,80,47,58,54,24,39,83
321,51,50,30,83,64,9,12,19,87,42
322,67,79,3,14,79,16,22,64,98,40
323,11,80,95,39,66,46,95,55,19,17
324,73,30,15,74,93,60,92,65,100,68
325,47,59,34,74,54,60,72,65,50,23
326,66,93,13,22,48,85,73,91,27,33
327,28,59,18,94,70,31,47,4,40,30
328,93,36,52,19,0,66,25,8,1,59
329,37,84,36,51,38,18,86,93,100,66
330,52,70,64,93,30,31,100,81,28,79
331,98,6,92,4,91,87,77,76,59,90
332,96,3,53,32,51,77,100,21,80,0
333,51,21,29,93,75,78,1,17,13,93
334,91,26,53,70,45,47,64,79,47,79
335,67,83,47,94,28,85,0,61,84,51
336,56,73,17,41,97,28,59,54,21,70
337,43,35,78,79,27,6,4,69,45,82
338,73,20,78,84,48,86,84,75,45,13
339,23,30,75,26,36,43,81,11,0,34
340,24,15,99,87,71,13,16,47,30,45
341,33,37,20,16,3,67,40,24,62,89
342,76,46,89,95,14,94,100,15,36,13
343,93,89,25,47,18,39,79,0,16,61
344,15,26,35,100,1,68,19,77,97,53
345,22,10,3,40,87,69,20,77,29,69
346,47,21,81,85,30,20,77,70,47,35
347,25,87,0,52,100,41,8,55,13,30
348,4,47,80,12,85,1,27,97,97,51
349,39,94,54,25,11,5,27,49,85,68
350,77,15,58,92,93,7,64,45,11,42
351,75,71,71,46,7,46,46,47,27,50
352,43,34,57,42,95,96,10,49,89,27
353,53,97,56,97,29,18,62,5,27,6
354,7,63,84,8,86,64,94,91,0,69
355,90,76,88,80,61,37,37,7,34,2
356,17,5,76,59,40,45,72,13,93,21
357,92,13,71,67,40,90,23,14,56,56
358,82,64,22,53,92,33,76,25,83,94
359,73,69,4,11,25,43,58,29,62,95
360,16,80,99,53,16,86,37,8,12,2
361,43,58,9,14,76,71,89,1,97,28
362,55,47,54,40,12,41,56,2,64,20
363,15,67,83,51,90,83,74,81,36,64
364,73,61,95,45,74,87,63,42,72,85
365,13,64,7,10,25,54,47,50,75,65
366,97,8,31,4,30,54,51,91,53,59
367,72,78,80,67,92,72,32,93,67,12
368,7,10,4,69,75,25,23,34,39,52
369,42,12,8,22,26,59,57,89,100,80
370,1,75,33,57,36,60,39,80,29,91
371,60,14,65,82,29,42,66,53,59,68
372,24,81,11,9,20,32,31,16,67,49
373,59,49,36,71,11,19,36,40,69,55
374,23,29,88,86,80,25,78,34,11,44
375,85,34,72,45,71,96,21,27,62,45
376,49,41,21,3,57,56,15,83,52,10
377,30,11,24,62,7,12,80,69,76,13
378,91,93,77,13,4,66,7,61,25,57
379,80,68,10,92,54,20,73,15,82,83
380,7,90,37,25,13,59,14,44,49,48
381,30,40,32,59,75,77,31,21,18,31
382,23,78,75,41,25,60,62,12,49,75
383,74,0,25,58,11,24,57,29,95,63
384,41,93,49,46,100,62,78,45,39,71
385,68,16,28,26,75,73,76,70,49,39
386,99,2,35,49,66,71,54,87,44,1
387,64,26,98,81,5,67,21,34,13,88
388,36,42,59,57,0,53,76,35,79,100
389,91,93,46,30,47,90,58,40,13,1
390,58,1,81,99,47,11,66,40,77,64
391,19,39,45,0,95,94,59,74,95,91
392,16,44,59,98,97,9,98,81,33,21
393,32,37,64,34,18,82,42,62,68,98
394,21,36,77,41,52,62,41,0,65,49
395,48,65,95,63,7,63,93,87,0,58
396,12,19,48,64,68,44,92,77,81,40
397,38,60,32,77,75,25,83,67,7,68
398,92,64,12,95,64,96,62,95,9,38
399,37,51,69,33,71,7,78,77,26,42
400,57,90,23,19,25,70,88,14,30,21
401,9,33,37,56,87,66,18,89,16,21
402,17,24,59,52,61,85,51,15,6,83
403,45,26,36,31,13,16,66,31,91,43
404,84,86,52,83,61,2,71,49,44,33
405,86,10,74,67,46,90,36,12,32,58
406,23,13,62,69,60,80,0,82,8,46
407,9,47,29,32,90,23,16,2,91,67
408,19,75,33,39,98,2,22,20,73,87
409,75,56,75,90,4,41,86,87,96,6
410,60,84,99,70,45,7,67,74,28,65
411,58,35,12,94,72,59,69,21,99,72
412,57,56,47,87,94,23,18,32,9,51
413,27,63,73,10,37,23,23,8,50,10
414,84,81,16,95,82,4,20,40,61,98
415,63,0,80,39,86,71,4,73,91,72
416,87,58,56,90,59,99,16,81,65,59
417,97,82,23,35,34,72,72,42,69,82
418,63,63,72,69,57,5,79,93,40,89
419,75,20,67,72,47,60,6,69,16,73
420,10,51,44,38,59,65,27,99,13,80
421,15,24,53,57,84,25,25,57,3,83
422,32,56,49,37,84,73,9,20,44,51
423,63,1,7,74,71,65,31,15,56,62
424,32,55,83,75,49,6,18,60,2,96
425,98,97,43,55,82,23,77,41,14,94
426,73,42,94,57,93,64,24,13,4,99
427,86,76,65,59,3,39,17,57,47,19
428,20,16,37,63,47,24,95,74,91,11
429,83,14,7,14,17,41,89,100,64,92
430,64,21,82,10,48,87,62,71,52,74
431,76,91,25,100,13,59,37,80,65,3
432,17,91,99,50,68,64,32,82,21,92
433,94,73,82,5,13,99,66,98,12,42
434,100,66,44,12,40,0,61,45,93,18
435,58,76,71,6,69,64,46,64,11,77
436,21,17,22,55,30,0,78,12,57,53
437,21,98,38,42,82,87,8,81,82,56
438,86,10,44,60,46,83,31,12,82,74
439,1,0,6,32,20,72,60,16,59,48
440,89,63,15,13,39,91,41,39,20,89
441,2,49,71,72,19,30,87,76,79,94
442,29,64,40,1,41,60,27,55,64,97
443,58,18,0,17,66,31,85,64,63,54
444,4,15,5,27,24,62,4,90,17,49
445,71,68,5,25,66,52,17,58,31,96
446,52,98,64,7,12,68,5,91,7,53
447,67,47,39,73,38,62,27,15,76,84
448,61,100,50,32,37,51,46,34,33,5
449,79,3,38,25,4,9,82,93,71,10
450,75,81,63,9,18,14,58,37,46,43
451,47,6,15,42,93,76,60,69,63,35
452,78,5,94,2,25,17,98,61,74,23
453,94,33,8,99,84,26,99,16,70,79
454,29,51,90,33,3,72,15,33,41,56
455,69,31,53,74,12,58,100,52,92,75
456,11,54,40,63,74,57,72,64,10,59
457,73,82,42,46,16,60,52,1,6,38
458,77,85,45,69,23,87,20,69,52,15
459,24,53,1,90,60,0,9,67,62,81
460,66,31,61,77,37,78,100,47,5,86
461,0,72,16,30,22,36,27,31,85,100
462,22,1,66,29,19,57,44,0,86,83
463,98,59,62,100,54,38,67,65,98,61
464,95,4,62,33,29,43,87,17,41,3
465,84,68,76,36,22,32,98,49,15,63
466,9,42,27,24,62,0,12,95,96,100
467,3,90,29,16,7,80,8,89,87,47
468,24,56,37,14,6,29,85,22,79,18
469,53,7,93,45,15,85,54,46,16,76
470,3,83,91,69,71,31,98,89,23,39
471,0,97,75,60,37,32,81,24,13,61
472,75,63,45,66,93,15,66,72,9,63
473,93,6,24,40,83,67,45,23,83,93
474,67,62,90,0,71,57,99,59,1,90
475,46,64,38,100,12,14,86,72,69,82
476,40,48,60,45,93,4,6,33,36,52
477,82,43,25,47,16,64,80,41,89,85
478,71,39,6,88,81,27,3,30,80,34
479,68,21,47,5,85,35,31,91,67,8
480,40,83,17,75,27,33,64,4,84,65
481,33,81,89,34,66,42,50,66,90,59
482,44,74,11,28,94,11,96,12,11,37
483,60,56,95,66,77,55,78,47,20,46
484,100,59,88,64,22,62,72,50,44,52
485,38,52,71,56,71,0,19,73,30,13
486,50,33,92,0,76,35,46,5,99,43
487,4,99,98,36,54,19,36,45,11,4
488,65,100,65,24,64,18,87,73,20,16
489,77,68,23,14,18,1,42,92,68,27
490,38,93,4,1,48,83,30,40,19,18
491,60,38,97,78,74,51,66,85,5,54
492,88,89,95,41,50,33,46,50,33,23
493,70,77,7,87,99,36,11,19,52,98
494,87,85,69,45,68,32,0,47,21,9
495,96,15,52,66,40,56,74,68,59,1
496,9,59,93,88,46,61,4,95,45,6
497,76,56,18,95,71,1,62,47,76,2
498,93,15,23,63,79,93,90,53,63,47
499,14,81,52,22,13,92,38,52,66,66
500,21,70,15,58,81,78,85,60,89,31
501,96,29,8,21,91,72,15,7,0,38
502,14,78,34,74,86,72,3,2,27,33
503,72,23,62,4,0,20,54,78,34,37
504,34,0,21,71,45,58,98,81,25,79
505,38,86,23,91,22,94,5,73,49,74
506,56,1,90,90,4,18,31,44,86,42
507,10,69,80,3,86,78,55,11,18,45
508,74,21,55,68,96,35,90,48,38,62
509,33,72,98,41,39,64,85,13,33,34
510,4,97,99,84,59,26,96,33,30,77
511,58,68,31,33,69,62,18,79,72,2
512,6,35,55,6,80,96,61,90,5,3
513,27,84,35,60,38,62,71,19,8,14
514,93,0,20,16,27,3,36,93,8,21
515,33,46,88,90,44,70,85,54,78,93
516,65,87,8,56,50,50,28,49,99,75
517,41,23,31,98,99,47,23,52,97,25
518,71,26,80,45,42,87,82,64,19,66
519,62,95,4,17,32,75,24,20,83,22
520,30,31,54,28,49,50,67,42,3,38
521,18,57,95,34,86,8,73,15,60,47
522,0,89,51,94,3,91,28,82,62,25
523,87,54,46,91,90,37,19,93,66,49
524,35,95,1,16,30,90,42,72,60,31
525,6,18,13,23,87,45,65,25,79,81
526,32,31,13,65,44,67,98,48,8,51
527,0,90,4,75,76,66,42,93,85,83
528,85,84,50,0,29,40,83,34,70,42
529,83,25,68,12,36,11,44,11,49,54
530,73,2,15,80,18,84,10,37,48,84
531,65,4,77,68,8,28,57,10,20,80
532,16,29,98,79,62,92,90,87,60,9
533,48,56,9,86,11,76,30,45,48,36
534,90,1,80,16,87,64,39,68,10,55
535,92,81,40,96,78,66,1,72,0,88
536,95,32,77,13,67,6,96,36,14,76
537,22,36,2,29,51,27,18,31,91,34
538,51,33,34,58,17,34,54,64,97,51
539,58,47,64,97,18,9,71,37,21,35
540,90,78,25,87,58,58,84,77,40,89
541,20,94,42,49,24,92,63,81,57,20
542,39,50,81,8,56,68,11,9,16,53
543,69,25,43,2,77,95,28,4,61,19
544,2,41,17,18,2,88,33,27,8,70
545,40,54,86,46,5,53,37,50,48,59
546,49,88,46,10,44,38,24,39,43,11
547,41,0,68,99,82,47,86,44,24,49
548,21,54,35,66,21,14,86,40,3,63
549,66,21,78,94,11,72,2,99,3,57
550,80,29,2,77,16,20,0,86,52,78
551,65,65,91,87,33,89,58,71,53,90
552,66,47,77,91,54,42,66,65,96,7
553,87,31,15,100,56,11,39,76,46,80
554,16,61,98,34,82,59,70,45,10,19
555,16,82,39,41,17,53,10,20,36,71
556,4,89,31,59,98,65,0,34,58,92
557,84,0,51,21,2,88,62,76,89,85
558,63,100,13,96,41,84,21,17,58,37
559,81,94,32,99,26,53,56,86,95,37
560,33,0,1,29,76,22,84,95,24,61
561,38,23,87,14,54,4,87,78,26,45
562,34,10,0,81,8,64,54,2,16,13
563,59,67,44,5,26,56,91,5,38,36
564,2,17,31,88,61,62,41,47,12,73
565,55,65,95,83,91,30,11,64,79,64
566,84,75,17,33,57,93,25,0,50,31
567,70,53,14,55,78,97,96,75,96,50
568,18,48,63,27,50,97,25,50,73,83
569,10,71,33,51,11,39,54,32,46,29
570,33,25,24,41,72,37,67,8,58,99
571,45,85,16,43,49,42,1,64,16,94
572,85,15,11,96,28,82,76,85,20,99
573,1,24,86,90,52,87,9,26,26,50
574,5,46,82,86,67,97,60,92,23,59
575,0,72,76,93,12,85,80,18,25,84
576,45,72,58,44,98,80,9,57,77,63
577,38,37,75,72,35,94,49,55,41,3
578,33,20,64,75,6,62,33,65,81,94
579,92,69,50,63,48,80,0,35,16,43
580,42,8,13,78,60,72,56,72,75,47
581,45,56,98,91,1,53,11,74,47,53
582,57,68,87,21,98,18,46,37,96,9
583,96,6,45,86,57,0,78,70,91,69
584,34,26,41,34,37,2,66,62,52,0
585,39,16,6,94,16,63,14,39,98,50
586,67,45,45,31,19,96,74,30,39,25
587,10,10,10,0,3,61,57,14,41,18
588,78,72,85,28,42,91,43,96,24,53
589,61,49,52,23,86,92,44,88,83,13
590,25,67,100,34,79,54,55,36,52,70
591,30,37,74,15,39,29,30,74,12,39
592,30,49,95,72,60,99,45,68,94,96
593,8,87,87,60,96,15,73,72,81,36
594,70,13,80,32,55,21,59,82,77,5
595,81,47,100,21,42,13,41,18,8,34
596,66,89,46,10,23,88,4,0,23,58
597,13,46,80,26,48,0,7,55,88,67
598,24,49,49,38,0,85,88,95,37,61
599,91,88,49,65,89,65,27,84,25,71
600,71,64,38,41,85,17,60,9,86,57
601,39,74,69,37,61,37,57,87,37,51
602,3,61,66,40,22,23,39,29,25,56
603,55,30,36,73,94,99,51,32,1,78
604,99,45,41,27,26,96,98,7,97,31
605,59,58,88,45,61,16,57,64,84,5
606,90,70,61,34,92,14,91,49,69,9
607,70,93,8,37,58,9,32,49,27,44
608,76,16,81,68,30,89,58,42,96,31
609,33,13,1,24,25,13,60,86,54,6
610,17,19,45,50,97,65,85,17,26,10
611,22,51,48,99,61,94,73,88,85,79
612,41,47,52,94,55,47,57,8,44,26
613,23,97,88,58,14,84,16,43,27,46
614,69,18,76,40,13,2,8,40,16,54
615,76,1,9,0,66,75,17,1,65,77
616,33,47,74,1,46,69,3,21,8,50
617,32,60,14,37,43,52,37,62,8,78
618,27,14,22,15,83,49,26,53,40,11
619,43,2,51,43,49,73,27,91,74,6
620,26,75,13,51,93,28,97,44,91,91
621,7,28,22,3,25,8,61,9,46,38
622,95,68,89,14,76,50,95,26,98,0
623,14,16,24,67,22,84,44,17,8,83
624,60,58,14,69,64,92,43,73,45,13
625,80,55,25,72,79,15,39,41,89,61
626,47,8,93,12,29,53,94,88,46,44
627,58,31,35,88,33,70,90,13,71,28
