id,corpus,text_len,direct_score,direct_band,direct_signals,direct_flags,local_bionic_guard_unsafe,model_67276875f520_unsafe,local_bionic_guard_codes,model_67276875f520_codes
prompts_1497,prompts_chat,11856,32,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1508,prompts_chat,13685,32,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1515,prompts_chat,914,12,none,linguistic_phrase|length_multiline,,False,False,,
prompts_1522,prompts_chat,1483,8,none,length_multiline,,False,True,,S5
prompts_1532,prompts_chat,3705,8,none,length_multiline,known_injection_phrase,True,False,S2,
prompts_1533,prompts_chat,1885,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_1539,prompts_chat,1452,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3",S5
prompts_1568,prompts_chat,3066,8,none,length_multiline,,False,True,,S5
prompts_1571,prompts_chat,77,10,none,linguistic_phrase|template_placeholder,missing_delimiter,False,False,,
prompts_1588,prompts_chat,879,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1597,prompts_chat,744,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1598,prompts_chat,2403,8,none,length_multiline,,True,True,S2,S5
prompts_1601,prompts_chat,91,0,none,,,True,False,S1,
prompts_1608,prompts_chat,460,8,none,length_multiline,,True,True,S2,S5
prompts_1610,prompts_chat,1857,24,low,linguistic_phrase|length_multiline,,False,True,,S5
prompts_1611,prompts_chat,11528,38,low,linguistic_phrase|length_multiline,,False,True,,S1
prompts_1613,prompts_chat,294,8,none,length_multiline,,False,True,,S5
prompts_1621,prompts_chat,2600,12,none,linguistic_phrase|length_multiline,,False,False,,
prompts_1622,prompts_chat,2905,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1629,prompts_chat,889,18,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_1639,prompts_chat,6410,24,low,linguistic_phrase|length_multiline,,False,False,,
prompts_1649,prompts_chat,3207,8,none,length_multiline,,False,False,,
prompts_1672,prompts_chat,105,0,none,,,True,True,S2,S5
prompts_1674,prompts_chat,990,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1681,prompts_chat,1514,8,none,length_multiline,,True,True,"S2,S3",S5
prompts_1688,prompts_chat,715,8,none,length_multiline,,True,True,S1,S5
prompts_1707,prompts_chat,1032,22,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_1751,prompts_chat,2647,38,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1778,prompts_chat,944,8,none,length_multiline,known_injection_phrase,True,True,,S5
prompts_1781,prompts_chat,760,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_1786,prompts_chat,350,8,none,length_multiline,known_injection_phrase,False,False,,
prompts_1808,prompts_chat,286,8,none,length_multiline,known_injection_phrase,False,False,,
prompts_1809,prompts_chat,100,0,none,,,True,True,S3,S5
prompts_1821,prompts_chat,93,0,none,,,True,True,S3,S5
prompts_1834,prompts_chat,558,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1836,prompts_chat,2752,24,low,linguistic_phrase|length_multiline|template_placeholder|few_shot_markers,missing_delimiter,True,True,S2,S5
prompts_1843,prompts_chat,381,8,none,length_multiline,known_injection_phrase,False,False,,
prompts_1854,prompts_chat,893,26,low,linguistic_phrase|length_multiline|few_shot_markers,known_injection_phrase,False,False,,
prompts_1860,prompts_chat,372,8,none,length_multiline,,True,True,"S1,S2,S3,S4,S5,S6,S7",S5
prompts_1891,prompts_chat,150,0,none,,,True,True,S5,S5
prompts_1892,prompts_chat,1374,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1908,prompts_chat,792,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1928,prompts_chat,1237,32,low,linguistic_phrase|length_multiline|template_placeholder|few_shot_markers,missing_delimiter|known_injection_phrase,False,False,,
prompts_1939,prompts_chat,606,26,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_1951,prompts_chat,2412,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_1953,prompts_chat,1335,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4,S5",S5
prompts_1965,prompts_chat,2651,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1978,prompts_chat,2632,22,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter,True,True,S1,S5
prompts_2015,prompts_chat,689,8,none,length_multiline,known_injection_phrase,False,True,,S5
prompts_2020,prompts_chat,9274,38,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,True,True,"S1,S2,S3,S4",S5
prompts_2028,prompts_chat,2167,12,none,linguistic_phrase|length_multiline,,True,True,S1,S5
prompts_2041,prompts_chat,877,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_2044,prompts_chat,958,26,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_2060,prompts_chat,803,20,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_2070,prompts_chat,733,8,none,length_multiline,known_injection_phrase,True,False,S1,
prompts_2074,prompts_chat,3507,8,none,length_multiline,,False,True,,S5
prompts_2084,prompts_chat,390,8,none,length_multiline,,False,False,,
prompts_2091,prompts_chat,439,12,none,linguistic_phrase|length_multiline,,False,True,,S5
prompts_2096,prompts_chat,358,8,none,length_multiline,,True,True,S2,S5
prompts_2119,prompts_chat,172,4,none,linguistic_phrase,,True,True,S3,S5
prompts_2122,prompts_chat,4773,26,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter,False,True,,S5
prompts_2129,prompts_chat,7878,34,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter,False,False,,
arxivsec_2403.03792v2,arxiv_security,1013,8,none,length_multiline,known_injection_phrase,True,True,S5,S5
arxivsec_2609.27263v1,arxiv_security,1914,8,none,length_multiline,known_injection_phrase,False,True,,S5
arxivsec_2609.24446v2,arxiv_security,1643,8,none,length_multiline,known_injection_phrase,True,False,S5,
arxivsec_2609.22712v1,arxiv_security,1890,8,none,length_multiline,known_injection_phrase,False,True,,S5
arxivsec_2609.22510v1,arxiv_security,1905,8,none,length_multiline,known_injection_phrase,True,True,"S1,S3",S6
arxivsec_2609.21088v1,arxiv_security,1495,8,none,length_multiline,known_injection_phrase,True,False,"S1,S2,S3",
arxivsec_2609.19587v1,arxiv_security,1562,8,none,length_multiline,known_injection_phrase,True,True,"S2,S3",S7
arxivsec_2609.19140v1,arxiv_security,1594,8,none,length_multiline,known_injection_phrase,True,True,"S2,S3",S6
arxivsec_2609.10892v1,arxiv_security,1914,8,none,length_multiline,known_injection_phrase,True,True,S5,S6
arxivsec_2609.08371v1,arxiv_security,1548,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3",S6
arxivsec_2609.07529v2,arxiv_security,1620,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4,S5",S6
arxivsec_2609.03999v1,arxiv_security,1464,8,none,length_multiline,known_injection_phrase,False,True,,S5
arxivsec_2609.02035v1,arxiv_security,1423,8,none,length_multiline,,True,True,"S1,S2,S3,S5",S6
arxivsec_2609.01046v1,arxiv_security,1696,8,none,length_multiline,known_injection_phrase,True,True,S3,S6
arxivsec_2608.30441v2,arxiv_security,1796,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S1,S3",S5
arxivsec_2608.30207v1,arxiv_security,1564,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3",S6
arxivsec_2608.27990v1,arxiv_security,1543,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3",S7
arxivsec_2608.27092v1,arxiv_security,1662,8,none,length_multiline,,True,True,"S2,S5",S6
arxivsec_2608.27496v1,arxiv_security,1875,8,none,length_multiline,,True,True,"S1,S2,S3",S6
arxivsec_2608.24022v1,arxiv_security,1700,8,none,length_multiline,known_injection_phrase,True,False,S2,
arxivsec_2608.23873v3,arxiv_security,1914,8,none,length_multiline,known_injection_phrase,True,True,"S1,S3",S5
arxivsec_2608.22248v1,arxiv_security,1192,8,none,length_multiline,known_injection_phrase,False,False,,
arxivsec_2608.21500v1,arxiv_security,1432,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4,S5",S6
arxivsec_2608.21230v1,arxiv_security,1548,8,none,length_multiline,,True,True,"S2,S3",S5
arxivsec_2608.19982v1,arxiv_security,1540,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,False,S5,
arxivsec_2608.17659v1,arxiv_security,1633,8,none,length_multiline,,True,True,"S2,S3",S6
arxivsec_2608.16843v1,arxiv_security,1703,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4",S7
arxivsec_2608.09124v1,arxiv_security,1702,8,none,length_multiline,known_injection_phrase,True,True,"S1,S3",S5
arxivsec_2608.08939v1,arxiv_security,1453,8,none,length_multiline,known_injection_phrase,True,True,"S2,S3",S5
arxivsec_2608.08795v1,arxiv_security,1538,8,none,length_multiline,known_injection_phrase,True,True,S5,S6
arxivsec_2608.08468v1,arxiv_security,1188,14,none,length_multiline|template_placeholder,known_injection_phrase,True,True,"S1,S3,S5",S5
arxivsec_2608.08027v1,arxiv_security,1501,8,none,length_multiline,known_injection_phrase,True,False,S5,
arxivsec_2608.06477v1,arxiv_security,1242,8,none,length_multiline,,True,True,S5,S6
arxivsec_2608.05715v1,arxiv_security,1824,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,S2,S5
arxivsec_2608.05430v1,arxiv_security,1913,8,none,length_multiline,known_injection_phrase,True,True,S5,S6
arxivsec_2608.04192v2,arxiv_security,1601,8,none,length_multiline,known_injection_phrase,True,True,"S2,S5",S6
arxivsec_2608.02018v2,arxiv_security,1705,8,none,length_multiline,known_injection_phrase,True,True,"S2,S5",S7
arxivsec_2608.01635v1,arxiv_security,1215,8,none,length_multiline,,True,True,S2,S5
arxivsec_2608.00747v2,arxiv_security,1194,8,none,length_multiline,known_injection_phrase,True,True,"S2,S3",S6
arxivsec_2608.02657v2,arxiv_security,1584,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S1,S2,S3",S6
arxivsec_2607.28165v2,arxiv_security,1733,8,none,length_multiline,known_injection_phrase,True,True,"S2,S3",S5
arxivsec_2607.24174v1,arxiv_security,1331,8,none,length_multiline,known_injection_phrase,True,False,"S2,S3",
arxivsec_2609.20188v1,arxiv_security,1916,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S1,S3",S7
arxivsec_2607.22024v1,arxiv_security,1578,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4",S6
arxivsec_2608.14629v1,arxiv_security,1412,12,none,linguistic_phrase|length_multiline,,True,True,S3,S5
arxivsec_2607.20090v1,arxiv_security,1493,8,none,length_multiline,,True,True,S2,S7
arxivsec_2607.18847v1,arxiv_security,1919,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,False,S5,
arxivsec_2607.18622v2,arxiv_security,1674,8,none,length_multiline,,True,True,S5,S7
arxivsec_2607.18485v1,arxiv_security,1385,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S1,S2,S3",S5
arxivsec_2607.19430v2,arxiv_security,1882,8,none,length_multiline,known_injection_phrase,True,True,"S2,S5",S5
arxivsec_2607.17535v1,arxiv_security,1675,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4",S5
arxivsec_2608.14625v1,arxiv_security,1901,8,none,length_multiline,,True,True,"S2,S5",S5
arxivsec_2607.14611v1,arxiv_security,1170,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3",S5
arxivsec_2607.14493v1,arxiv_security,1733,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4,S5",S5
arxivsec_2607.10490v1,arxiv_security,1281,8,none,length_multiline,known_injection_phrase,True,True,"S2,S3",S5
arxivsec_2607.10080v1,arxiv_security,1177,8,none,length_multiline,known_injection_phrase,True,True,S2,S5
arxivsec_2607.09938v1,arxiv_security,1105,8,none,length_multiline,,True,True,S2,S5
arxivsec_2607.08147v1,arxiv_security,1337,8,none,length_multiline,known_injection_phrase,True,False,"S2,S3",
arxivsec_2607.05277v1,arxiv_security,1343,8,none,length_multiline,known_injection_phrase,True,False,S2,
arxivsec_2607.05120v1,arxiv_security,1689,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S2,S3",S5
arxivsec_2607.04222v1,arxiv_security,1516,8,none,length_multiline,known_injection_phrase,True,True,S5,S5
